epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5662,1.38275,3.23872,1.40118,0.32747,0.49451,0.2947,0.14947,1.5033,2.66681,1.51861,0.06931,0.00031,0.00031
2,29.1152,1.25329,1.42185,1.29537,0.364,0.58585,0.45218,0.27216,1.15702,2.70105,1.34251,0.0376299,0.000629932,0.000629932
3,42.5152,1.24158,1.3685,1.25579,0.36813,0.63689,0.42411,0.25911,1.17595,2.4862,1.2971,0.00594959,0.000949588,0.000949588
4,56.0061,1.27258,1.3224,1.33303,0.4595,0.60897,0.45874,0.28132,1.26046,2.21602,1.44745,0.000999023,0.000999023,0.000999023
5,70.6659,1.23115,1.2496,1.28283,0.50224,0.67949,0.55319,0.34395,1.22909,1.93985,1.32435,0.000998264,0.000998264,0.000998264
6,83.8294,1.2053,1.17566,1.26833,0.67283,0.72945,0.7056,0.45456,1.19369,1.68093,1.26791,0.000997288,0.000997288,0.000997288
7,98.6723,1.21969,1.19484,1.2605,0.77021,0.67119,0.77785,0.50675,1.19042,1.41514,1.22731,0.000996097,0.000996097,0.000996097
8,113.115,1.18936,1.13641,1.25967,0.78295,0.72451,0.81251,0.54935,1.09914,1.36868,1.21661,0.00099469,0.00099469,0.00099469
9,128.53,1.1795,1.09923,1.25628,0.61756,0.80311,0.76509,0.51733,1.12449,1.27258,1.20605,0.000993068,0.000993068,0.000993068
10,145.024,1.12146,1.02234,1.20796,0.81808,0.81723,0.87754,0.5784,1.11234,0.92758,1.21402,0.000991232,0.000991232,0.000991232
11,159.658,1.13668,0.99656,1.20442,0.82657,0.80039,0.88049,0.58548,1.19966,0.97938,1.23412,0.000989183,0.000989183,0.000989183
12,175.084,1.09271,0.92057,1.17756,0.89389,0.77266,0.93242,0.62542,1.12463,0.84096,1.17867,0.000986922,0.000986922,0.000986922
13,190.646,1.1247,0.924,1.21035,0.74515,0.85804,0.87136,0.62276,1.03207,0.93214,1.11825,0.000984449,0.000984449,0.000984449
14,205.144,1.09572,0.87543,1.18446,0.78811,0.76816,0.84399,0.5808,1.09215,1.02271,1.15915,0.000981765,0.000981765,0.000981765
15,218.546,1.09493,0.90191,1.18421,0.86171,0.8817,0.89889,0.6252,1.08636,0.88629,1.16486,0.000978873,0.000978873,0.000978873
16,232.31,1.09071,0.89159,1.18752,0.80891,0.87454,0.90155,0.63208,1.04509,0.8529,1.13978,0.000975773,0.000975773,0.000975773
17,246.507,1.06764,0.89042,1.18295,0.83005,0.86076,0.91277,0.66251,1.03355,0.80205,1.12625,0.000972466,0.000972466,0.000972466
18,261.894,1.08664,0.88722,1.18752,0.85411,0.89546,0.92529,0.65102,1.04176,0.80075,1.12094,0.000968955,0.000968955,0.000968955
19,277.669,1.05785,0.89332,1.16514,0.92778,0.88553,0.9519,0.67926,1.07891,0.78862,1.13272,0.000965239,0.000965239,0.000965239
20,292.401,1.03861,0.87144,1.16401,0.84666,0.84036,0.8949,0.65834,0.98949,0.80234,1.09705,0.000961322,0.000961322,0.000961322
